location,datetime,temp_c,condition,humidity,wind_kph,pressure_mb,chance_of_rain,lat,lon
Jakarta,2025-05-04 00:00,27.7,Light rain shower,80,10.1,1009.0,100,-6.2146,106.8451
Jakarta,2025-05-04 01:00,27.4,Light rain shower,81,10.4,1009.0,100,-6.2146,106.8451
Jakarta,2025-05-04 02:00,26.9,Light rain shower,84,11.9,1008.0,100,-6.2146,106.8451
Jakarta,2025-05-04 03:00,26.5,Patchy rain nearby,85,11.9,1008.0,86,-6.2146,106.8451
Jakarta,2025-05-04 04:00,26.3,Patchy rain nearby,85,10.1,1008.0,78,-6.2146,106.8451
Jakarta,2025-05-04 05:00,26.2,Patchy rain nearby,85,8.6,1008.0,84,-6.2146,106.8451
Jakarta,2025-05-04 06:00,26.2,Patchy rain nearby,85,7.6,1008.0,100,-6.2146,106.8451
Jakarta,2025-05-04 07:00,26.3,Light rain shower,84,7.2,1009.0,100,-6.2146,106.8451
Jakarta,2025-05-04 08:00,26.7,Patchy rain nearby,82,7.6,1009.0,100,-6.2146,106.8451
Jakarta,2025-05-04 09:00,27.6,Patchy rain nearby,77,8.3,1009.0,71,-6.2146,106.8451
Jakarta,2025-05-04 10:00,28.7,Patchy rain nearby,71,7.9,1009.0,80,-6.2146,106.8451
Jakarta,2025-05-04 11:00,29.1,Patchy rain nearby,79,8.3,1009.0,74,-6.2146,106.8451
Jakarta,2025-05-04 12:00,31.0,Patchy rain nearby,60,8.3,1008.0,68,-6.2146,106.8451
Jakarta,2025-05-04 13:00,31.6,Patchy rain nearby,58,8.6,1007.0,100,-6.2146,106.8451
Jakarta,2025-05-04 14:00,31.7,Light drizzle,58,11.5,1006.0,100,-6.2146,106.8451
Jakarta,2025-05-04 15:00,30.9,Light rain shower,61,15.8,1006.0,100,-6.2146,106.8451
Jakarta,2025-05-04 16:00,30.1,Patchy light drizzle,64,14.8,1006.0,100,-6.2146,106.8451
Jakarta,2025-05-04 17:00,30.0,Light rain shower,65,12.2,1006.0,100,-6.2146,106.8451
Jakarta,2025-05-04 18:00,29.8,Patchy rain nearby,66,10.1,1007.0,100,-6.2146,106.8451
Jakarta,2025-05-04 19:00,29.3,Light rain shower,69,9.7,1007.0,100,-6.2146,106.8451
Jakarta,2025-05-04 20:00,28.8,Light rain shower,72,9.4,1008.0,100,-6.2146,106.8451
Jakarta,2025-05-04 21:00,28.3,Patchy rain nearby,74,7.6,1009.0,100,-6.2146,106.8451
Jakarta,2025-05-04 22:00,28.1,Light rain shower,76,7.2,1010.0,100,-6.2146,106.8451
Jakarta,2025-05-04 23:00,27.8,Patchy rain nearby,78,6.8,1010.0,87,-6.2146,106.8451
Jakarta,2025-05-05 00:00,27.6,Patchy rain nearby,79,6.8,1010.0,100,-6.2146,106.8451
Jakarta,2025-05-05 01:00,26.9,Patchy rain nearby,82,6.8,1010.0,100,-6.2146,106.8451
Jakarta,2025-05-05 02:00,26.8,Patchy rain nearby,83,5.8,1009.0,100,-6.2146,106.8451
Jakarta,2025-05-05 03:00,26.6,Partly Cloudy ,84,6.8,1009.0,0,-6.2146,106.8451
Jakarta,2025-05-05 04:00,26.4,Partly Cloudy ,85,6.8,1008.0,0,-6.2146,106.8451
Jakarta,2025-05-05 05:00,26.2,Partly Cloudy ,86,7.2,1009.0,0,-6.2146,106.8451
Jakarta,2025-05-05 06:00,26.1,Partly Cloudy ,86,6.1,1009.0,0,-6.2146,106.8451
Jakarta,2025-05-05 07:00,26.1,Patchy rain nearby,86,5.4,1010.0,78,-6.2146,106.8451
Jakarta,2025-05-05 08:00,26.7,Patchy rain nearby,82,5.8,1010.0,61,-6.2146,106.8451
Jakarta,2025-05-05 09:00,27.8,Sunny,76,7.2,1011.0,0,-6.2146,106.8451
Jakarta,2025-05-05 10:00,29.0,Sunny,68,7.9,1011.0,0,-6.2146,106.8451
Jakarta,2025-05-05 11:00,30.3,Partly Cloudy ,61,7.2,1011.0,0,-6.2146,106.8451
Jakarta,2025-05-05 12:00,31.4,Partly Cloudy ,56,6.5,1010.0,0,-6.2146,106.8451
Jakarta,2025-05-05 13:00,32.1,Partly Cloudy ,53,7.2,1009.0,0,-6.2146,106.8451
Jakarta,2025-05-05 14:00,32.6,Patchy rain nearby,52,8.3,1007.0,67,-6.2146,106.8451
Jakarta,2025-05-05 15:00,32.7,Partly Cloudy ,52,10.4,1007.0,0,-6.2146,106.8451
Jakarta,2025-05-05 16:00,32.3,Sunny,54,12.2,1006.0,0,-6.2146,106.8451
Jakarta,2025-05-05 17:00,31.5,Partly Cloudy ,58,14.0,1006.0,0,-6.2146,106.8451
Jakarta,2025-05-05 18:00,30.3,Patchy rain nearby,63,13.3,1007.0,100,-6.2146,106.8451
Jakarta,2025-05-05 19:00,29.8,Patchy rain nearby,66,10.1,1008.0,100,-6.2146,106.8451
Jakarta,2025-05-05 20:00,29.6,Patchy rain nearby,67,6.5,1009.0,100,-6.2146,106.8451
Jakarta,2025-05-05 21:00,29.4,Patchy rain nearby,68,4.0,1010.0,100,-6.2146,106.8451
Jakarta,2025-05-05 22:00,29.2,Patchy rain nearby,71,2.5,1011.0,100,-6.2146,106.8451
Jakarta,2025-05-05 23:00,28.8,Patchy rain nearby,72,0.7,1011.0,67,-6.2146,106.8451
Jakarta,2025-05-06 00:00,28.5,Patchy rain nearby,74,2.5,1011.0,100,-6.2146,106.8451
Jakarta,2025-05-06 01:00,28.1,Patchy rain nearby,76,5.0,1010.0,100,-6.2146,106.8451
Jakarta,2025-05-06 02:00,27.8,Patchy rain nearby,78,5.4,1010.0,65,-6.2146,106.8451
